concentration,dateCollected,file
1.1,2024-05-10T02:17:15.336Z,
2.1,2024-05-10T02:17:15.336Z,
3.1,2024-05-10T02:17:15.336Z,
4.1,2024-05-10T02:17:15.336Z,
5.1,2024-05-10T02:17:15.336Z,
6.1,2024-05-10T02:17:15.336Z,
7.1,2024-05-10T02:17:15.336Z,
8.1,2024-05-10T02:17:15.336Z,
9.1,2024-05-10T02:17:15.336Z,
10.1,2024-05-10T02:17:15.336Z,
11.1,2024-05-10T02:17:15.336Z,
12.1,2024-05-10T02:17:15.336Z,
13.1,2024-05-10T02:17:15.336Z,
14.1,2024-05-10T02:17:15.336Z,
15.1,2024-05-10T02:17:15.336Z,
16.1,2024-05-10T02:17:15.336Z,
17.1,2024-05-10T02:17:15.336Z,
18.1,2024-05-10T02:17:15.336Z,
19.1,2024-05-10T02:17:15.336Z,
20.1,2024-05-10T02:17:15.336Z,
21.1,2024-05-10T02:17:15.336Z,
22.1,2024-05-10T02:17:15.336Z,
23.1,2024-05-10T02:17:15.336Z,
24.1,2024-05-10T02:17:15.336Z,
25.1,2024-05-10T02:17:15.336Z,
26.1,2024-05-10T02:17:15.336Z,
27.1,2024-05-10T02:17:15.336Z,
28.1,2024-05-10T02:17:15.336Z,
29.1,2024-05-10T02:17:15.336Z,
